symbol,baseCurrency,quoteCurrency,status,displayName,fxStablecoin,maxSlippagePercentage,postOnly,limitOnly,cancelOnly,tradingDisabled,statusMessage,auctionMode,exchange,type,trading_type
IMX-USDT,IMX,USDT,online,IMX-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
GMT-USDT,GMT,USDT,online,GMT-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
CGLD-GBP,CGLD,GBP,online,CGLD-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
1INCH-USD,1INCH,USD,online,1INCH-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
PNG-USD,PNG,USD,online,PNG-USD,False,0.05000000,False,False,False,False,,False,coinbase,spot,现货
BCH-GBP,BCH,GBP,online,BCH-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
VET-USD,VET,USD,online,VET-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
BONK-USD,BONK,USD,online,BONK-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
LRDS-USD,LRDS,USD,online,LRDS/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ATOM-GBP,ATOM,GBP,online,ATOM-GBP,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
