symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,contractType
SFPBTC,SFP,BTC,TRADING,binance,spot,现货,
SFPUSDT,SFP,USDT,TRADING,binance,spot,现货,
DOTTRY,DOT,TRY,TRADING,binance,spot,现货,
DODOBTC,DODO,BTC,TRADING,binance,spot,现货,
DODOUSDT,DODO,USDT,TRADING,binance,spot,现货,
CAKEBTC,CAKE,BTC,TRADING,binance,spot,现货,
CAKEUSDT,CAKE,USDT,TRADING,binance,spot,现货,
ACMUSDT,ACM,USDT,TRADING,binance,spot,现货,
AUCTIONBTC,AUCTION,BTC,TRADING,binance,spot,现货,
PHABTC,PHA,BTC,TRADING,binance,spot,现货,
ADATRY,ADA,TRY,TRADING,binance,spot,现货,
ADABRL,ADA,BRL,TRADING,binance,spot,现货,
FISBTC,FIS,BTC,TRADING,binance,spot,现货,
FISUSDT,FIS,USDT,TRADING,binance,spot,现货,
DOTBRL,DOT,BRL,TRADING,binance,spot,现货,
HOTTRY,HOT,TRY,TRADING,binance,spot,现货,
EGLDEUR,EGLD,EUR,TRADING,binance,spot,现货,
OMBTC,OM,BTC,TRADING,binance,spot,现货,
OMUSDT,OM,USDT,TRADING,binance,spot,现货,
PONDUSDT,POND,USDT,TRADING,binance,spot,现货,
DEGOUSDT,DEGO,USDT,TRADING,binance,spot,现货,
AVAXEUR,AVAX,EUR,TRADING,binance,spot,现货,
ALICEUSDT,ALICE,USDT,TRADING,binance,spot,现货,
NEOTRY,NEO,TRY,TRADING,binance,spot,现货,
PERPUSDT,PERP,USDT,TRADING,binance,spot,现货,
SUPERBTC,SUPER,BTC,TRADING,binance,spot,现货,
SUPERUSDT,SUPER,USDT,TRADING,binance,spot,现货,
CFXBTC,CFX,BTC,TRADING,binance,spot,现货,
CFXUSDT,CFX,USDT,TRADING,binance,spot,现货,
RVNTRY,RVN,TRY,TRADING,binance,spot,现货,
TKOUSDT,TKO,USDT,TRADING,binance,spot,现货,
PUNDIXUSDT,PUNDIX,USDT,TRADING,binance,spot,现货,
WINEUR,WIN,EUR,TRADING,binance,spot,现货,
TLMUSDT,TLM,USDT,TRADING,binance,spot,现货,
ONTTRY,ONT,TRY,TRADING,binance,spot,现货,
VETEUR,VET,EUR,TRADING,binance,spot,现货,
BARUSDT,BAR,USDT,TRADING,binance,spot,现货,
FORTHBTC,FORTH,BTC,TRADING,binance,spot,现货,
FORTHUSDT,FORTH,USDT,TRADING,binance,spot,现货,
BAKEUSDT,BAKE,USDT,TRADING,binance,spot,现货,
SLPUSDT,SLP,USDT,TRADING,binance,spot,现货,
TRXEUR,TRX,EUR,TRADING,binance,spot,现货,
VETTRY,VET,TRY,TRADING,binance,spot,现货,
SHIBUSDT,SHIB,USDT,TRADING,binance,spot,现货,
ICPBTC,ICP,BTC,TRADING,binance,spot,现货,
ICPUSDT,ICP,USDT,TRADING,binance,spot,现货,
SHIBEUR,SHIB,EUR,TRADING,binance,spot,现货,
ARBTC,AR,BTC,TRADING,binance,spot,现货,
ARUSDT,AR,USDT,TRADING,binance,spot,现货,
MASKUSDT,MASK,USDT,TRADING,binance,spot,现货,
LPTBTC,LPT,BTC,TRADING,binance,spot,现货,
LPTBNB,LPT,BNB,TRADING,binance,spot,现货,
LPTUSDT,LPT,USDT,TRADING,binance,spot,现货,
SOLEUR,SOL,EUR,TRADING,binance,spot,现货,
SHIBBRL,SHIB,BRL,TRADING,binance,spot,现货,
ICPEUR,ICP,EUR,TRADING,binance,spot,现货,
SHIBTRY,SHIB,TRY,TRADING,binance,spot,现货,
